work_year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_size,employee_residence_c,employee_continent,company_location_c,company_location_continent,salary_usd_ajust,reside_en_mismo_pais
2023,Senior,Full-time,Principal Data Scientist,85847,remote,L,Spain,Europa,Spain,Europa,83786.672,Sí
2023,Mid-level,Contract,ML Engineer,30000,remote,S,United States of America,América,United States of America,América,30000.0,Sí
2023,Mid-level,Contract,ML Engineer,25500,remote,S,United States of America,América,United States of America,América,25500.0,Sí
2023,Senior,Full-time,Data Scientist,175000,remote,M,Canada,América,Canada,América,170275.0,Sí
2023,Senior,Full-time,Data Scientist,120000,remote,M,Canada,América,Canada,América,116760.0,Sí
2023,Senior,Full-time,Applied Scientist,222200,in company,L,United States of America,América,United States of America,América,222200.0,Sí
2023,Senior,Full-time,Applied Scientist,136000,in company,L,United States of America,América,United States of America,América,136000.0,Sí
2023,Senior,Full-time,Data Scientist,219000,in company,M,Canada,América,Canada,América,213087.0,Sí
2023,Senior,Full-time,Data Scientist,141000,in company,M,Canada,América,Canada,América,137193.0,Sí
2023,Senior,Full-time,Data Scientist,147100,in company,M,United States of America,América,United States of America,América,147100.0,Sí
2023,Senior,Full-time,Data Scientist,90700,in company,M,United States of America,América,United States of America,América,90700.0,Sí
2023,Senior,Full-time,Data Analyst,130000,remote,M,United States of America,América,United States of America,América,130000.0,Sí
2023,Senior,Full-time,Data Analyst,100000,remote,M,United States of America,América,United States of America,América,100000.0,Sí
2023,Entry-level,Full-time,Applied Scientist,213660,in company,L,United States of America,América,United States of America,América,213660.0,Sí
2023,Entry-level,Full-time,Applied Scientist,130760,in company,L,United States of America,América,United States of America,América,130760.0,Sí
2023,Senior,Full-time,Data Modeler,147100,in company,M,United States of America,América,United States of America,América,147100.0,Sí
2023,Senior,Full-time,Data Modeler,90700,in company,M,United States of America,América,United States of America,América,90700.0,Sí
2023,Senior,Full-time,Data Scientist,170000,in company,M,United States of America,América,United States of America,América,170000.0,Sí
2023,Senior,Full-time,Data Scientist,150000,in company,M,United States of America,América,United States of America,América,150000.0,Sí
2023,Mid-level,Full-time,Data Analyst,150000,remote,M,United States of America,América,United States of America,América,150000.0,Sí
2023,Mid-level,Full-time,Data Analyst,110000,remote,M,United States of America,América,United States of America,América,110000.0,Sí
2023,Senior,Full-time,Research Engineer,275000,in company,M,Germany,Europa,Germany,Europa,266200.0,Sí
2023,Senior,Full-time,Research Engineer,174000,in company,M,Germany,Europa,Germany,Europa,168432.0,Sí
2023,Senior,Full-time,Analytics Engineer,230000,remote,M,United Kingdom,Europa,United Kingdom,Europa,222180.0,Sí
2023,Senior,Full-time,Analytics Engineer,143200,remote,M,United Kingdom,Europa,United Kingdom,Europa,138331.2,Sí
2023,Senior,Full-time,Business Intelligence Engineer,225000,in company,M,United States of America,América,United States of America,América,225000.0,Sí
2023,Senior,Full-time,Business Intelligence Engineer,156400,in company,M,United States of America,América,United States of America,América,156400.0,Sí
2023,Senior,Full-time,Machine Learning Engineer,200000,in company,M,United States of America,América,United States of America,América,200000.0,Sí
2023,Senior,Full-time,Machine Learning Engineer,130000,in company,M,United States of America,América,United States of America,América,130000.0,Sí
2023,Senior,Full-time,Data Strategist,90000,in company,M,Canada,América,Canada,América,87570.0,Sí
2023,Senior,Full-time,Data Strategist,72000,in company,M,Canada,América,Canada,América,70056.0,Sí
2023,Senior,Full-time,Data Engineer,253200,in company,M,United States of America,América,United States of America,América,253200.0,Sí
2023,Senior,Full-time,Data Engineer,90700,in company,M,United States of America,América,United States of America,América,90700.0,Sí
2023,Senior,Full-time,Computer Vision Engineer,342810,in company,M,United States of America,América,United States of America,América,342810.0,Sí
2023,Senior,Full-time,Computer Vision Engineer,184590,in company,M,United States of America,América,United States of America,América,184590.0,Sí
2023,Mid-level,Full-time,Data Engineer,162500,in company,M,United States of America,América,United States of America,América,162500.0,Sí
2023,Mid-level,Full-time,Data Engineer,130000,in company,M,United States of America,América,United States of America,América,130000.0,Sí
2023,Mid-level,Full-time,Data Analyst,105380,in company,M,United States of America,América,United States of America,América,105380.0,Sí
2023,Mid-level,Full-time,Data Analyst,64500,in company,M,United States of America,América,United States of America,América,64500.0,Sí
2023,Entry-level,Full-time,Data Quality Analyst,100000,remote,L,Nigeria,África,Nigeria,África,88000.0,Sí
2023,Entry-level,Full-time,Compliance Data Analyst,30000,remote,L,Nigeria,África,Nigeria,África,26400.0,Sí
2022,Mid-level,Full-time,Machine Learning Engineer,20984,hibrido,L,India,Asia,India,Asia,19578.27467589484,Sí
2023,Entry-level,Full-time,Applied Scientist,204620,in company,L,United States of America,América,United States of America,América,204620.0,Sí
2023,Entry-level,Full-time,Applied Scientist,110680,in company,L,United States of America,América,United States of America,América,110680.0,Sí
2023,Senior,Full-time,Data Engineer,270703,in company,M,United States of America,América,United States of America,América,270703.0,Sí
2023,Senior,Full-time,Data Engineer,221484,in company,M,United States of America,América,United States of America,América,221484.0,Sí
2023,Senior,Full-time,Data Scientist,212750,remote,M,United States of America,América,United States of America,América,212750.0,Sí
2023,Senior,Full-time,Data Scientist,185000,remote,M,United States of America,América,United States of America,América,185000.0,Sí
2023,Senior,Full-time,Data Scientist,262000,remote,M,United States of America,América,United States of America,América,262000.0,Sí
2023,Senior,Full-time,Data Scientist,245000,remote,M,United States of America,América,United States of America,América,245000.0,Sí
2023,Senior,Full-time,Data Scientist,275300,remote,M,United States of America,América,United States of America,América,275300.0,Sí
2023,Senior,Full-time,Data Scientist,183500,remote,M,United States of America,América,United States of America,América,183500.0,Sí
2023,Senior,Full-time,Data Scientist,218500,remote,M,United States of America,América,United States of America,América,218500.0,Sí
2023,Senior,Full-time,Data Scientist,199098,remote,M,United States of America,América,United States of America,América,199098.0,Sí
2023,Senior,Full-time,Data Engineer,203300,remote,M,United States of America,América,United States of America,América,203300.0,Sí
2023,Senior,Full-time,Data Engineer,123600,remote,M,United States of America,América,United States of America,América,123600.0,Sí
2023,Senior,Full-time,Research Engineer,189110,in company,M,United States of America,América,United States of America,América,189110.0,Sí
2023,Senior,Full-time,Research Engineer,139000,in company,M,United States of America,América,United States of America,América,139000.0,Sí
2023,Executive,Full-time,Data Scientist,258750,in company,M,United States of America,América,United States of America,América,258750.0,Sí
2023,Executive,Full-time,Data Scientist,185000,in company,M,United States of America,América,United States of America,América,185000.0,Sí
2023,Senior,Full-time,Data Engineer,231500,remote,M,United States of America,América,United States of America,América,231500.0,Sí
2023,Senior,Full-time,Data Engineer,166000,remote,M,United States of America,América,United States of America,América,166000.0,Sí
2023,Senior,Full-time,Data Scientist,172500,remote,M,United States of America,América,United States of America,América,172500.0,Sí
2023,Senior,Full-time,Data Scientist,110500,remote,M,United States of America,América,United States of America,América,110500.0,Sí
2023,Senior,Full-time,Data Engineer,238000,in company,M,United States of America,América,United States of America,América,238000.0,Sí
2023,Senior,Full-time,Data Engineer,176000,in company,M,United States of America,América,United States of America,América,176000.0,Sí
2023,Senior,Full-time,Data Engineer,237000,remote,M,United States of America,América,United States of America,América,237000.0,Sí
2023,Senior,Full-time,Data Engineer,201450,remote,M,United States of America,América,United States of America,América,201450.0,Sí
2023,Senior,Full-time,Applied Scientist,309400,in company,L,United States of America,América,United States of America,América,309400.0,Sí
2023,Senior,Full-time,Applied Scientist,159100,in company,L,United States of America,América,United States of America,América,159100.0,Sí
2023,Senior,Full-time,Data Engineer,115000,in company,M,United States of America,América,United States of America,América,115000.0,Sí
2023,Senior,Full-time,Data Engineer,81500,in company,M,United States of America,América,United States of America,América,81500.0,Sí
2023,Senior,Full-time,Data Scientist,237000,remote,M,United States of America,América,United States of America,América,237000.0,Sí
